on,-52700,-29895,401,3066,-76216,-63429
on,54657,78683,40152,56083,-34336,-12431
on,59014,76196,30556,50093,-22385,-13553
on,-6565,13512,-82809,-65292,-23274,14535
on,65912,83871,25817,43425,14838,41142
on,-4414,12579,65075,88197,-49882,-33903
on,-59585,-48253,-65527,-40150,3507,35270
on,-34412,-33575,-10846,9654,-88240,-55803
on,47871,57646,27316,34052,-61856,-44297
on,20655,33729,544,4246,-80556,-60447
on,-71676,-56858,-15967,-842,42344,61759
on,24440,54180,-65387,-36391,-56793,-38477
on,-12096,12068,27154,43843,64131,89303
on,-2980,20262,-37803,-25018,-78700,-61068
on,-15565,13314,146,13655,65571,91970
on,58667,66912,47731,64754,1661,26615
on,-6081,9984,28275,41668,60669,77493
on,-88118,-65745,-5166,21142,9270,17731
on,-73373,-51151,6122,25687,-47346,-17269
on,34573,56840,-60729,-38852,-20684,-11689
on,63503,77422,-35871,-31205,-44723,-24009
on,67950,71906,25251,38626,-32889,4841
on,30142,49261,-39743,-17231,-81205,-61873
on,-10426,-753,12408,30119,63276,90039
on,9956,17074,-76190,-52204,15525,42913
on,-84076,-52535,15299,39297,-42187,-32457
on,-56861,-36789,42861,70908,15572,38455
on,-76387,-64786,-20634,-7176,-51239,-28309
on,-81799,-67512,5048,20266,17570,37695
on,38650,66859,25411,39033,-50146,-46574
on,4161,37779,8930,44268,-84790,-67401
on,13246,45675,38773,55659,44556,75921
on,-19986,-6023,50487,66811,33721,68143
on,-71589,-51093,2711,24060,-71818,-36003
on,-3048,17261,37200,61654,-71856,-38051
on,-3760,22094,18379,42388,57895,89788
on,-72676,-56382,-46593,-21477,7176,34800
on,16885,37724,-42176,-36835,-58909,-52505
on,-51218,-23762,-76706,-62809,3745,27888
on,-4158,22783,22246,36168,-88517,-68282
on,-17707,-669,37943,62646,46586,63036
on,51581,77745,28596,40626,-45686,-18766
on,19510,36622,-44622,-35467,44727,70693
on,-49969,-37700,-8439,20254,60227,72705
on,-87133,-74151,-7957,1418,-12233,12443
on,-79581,-46482,-50454,-28048,-21188,-4488
on,12115,36260,-85695,-64322,-35294,-7700
on,-66936,-61385,-28259,-8372,39848,43838
on,55797,74862,-22855,8027,14366,34461
on,-78519,-68384,-8400,4305,26489,46069
on,33710,61151,-73825,-56987,-859,10787
on,-20323,-9474,73468,92403,15564,37663
on,-11584,-3974,-78320,-71965,6768,26626
on,68817,94538,-28882,1604,20398,27819
on,-60590,-28801,4313,20497,59752,77447
on,-12301,-137,-4991,29354,61971,95666
on,-26298,2078,-16726,7487,69348,95218
on,-77805,-62930,-17711,9685,-48430,-22296
on,-65598,-43478,34089,58996,22098,47142
on,55681,75203,-19304,-5256,43792,50101
on,14283,46087,-33566,-19848,66165,75341
on,-53066,-32905,-74627,-48896,11029,38541
on,13226,22225,68164,82264,16625,30459
on,53012,75248,38405,50603,-32275,-9158
on,31718,64008,-37391,-25375,34911,57824
on,-82524,-51148,-43451,-21663,28357,52000
on,72825,79013,-29581,-18470,-6801,18568
on,50322,78782,-38263,-15163,-45541,-11542
on,-9968,4488,-76717,-62990,8897,34826
on,51218,72195,-5871,18134,-74190,-47547
on,59247,79105,-35491,-13984,8686,31348
on,17270,49092,72928,92514,1990,20737
on,37147,57386,-79496,-59486,18394,32481
on,-17992,-1930,69389,96284,-2008,10457
on,-42343,-12768,9556,30709,68231,77138
on,26343,50892,37914,54650,-69698,-44575
on,-21281,-2499,-83558,-75061,-20797,632
on,-27553,206,41306,61575,-71885,-63568
on,-77321,-56591,32040,50463,-10122,15651
on,-31304,-14034,-46405,-24775,-64353,-62200
on,-67059,-30314,-67516,-64330,195,11315
on,49035,86098,-19070,14689,-50639,-25557
on,-13990,-5245,62776,90087,1796,13412
on,13700,39412,44834,73186,27091,52781
on,-71221,-59506,23032,48437,19272,53538
on,-9175,8037,-81681,-64066,2569,36284
on,47839,63066,36069,47232,-55669,-38541
on,-74692,-50422,-27156,11173,-67428,-46732
on,69768,75308,11225,16663,-43002,-23209
on,4070,36468,-87207,-69693,-570,4995
on,-70594,-54607,39273,55208,3871,6157
off,-91614,-65938,-49141,-22729,-12901,22098
on,4219,35714,40364,70566,-69107,-44872
off,33168,59615,-37366,-20785,43736,58964
on,-8104,8747,19979,46135,59286,76054
off,4830,14607,-75863,-48644,48273,69627
on,-60664,-38478,-48901,-36850,-65750,-49089
off,45591,60083,18509,39961,36806,62002
on,-47043,-23270,-20506,13821,-91912,-52879
off,67802,93598,-30573,-4902,6099,42841
off,-64707,-34756,-65267,-43871,-49744,-16008
on,27253,36348,-8548,9367,-84618,-55650
off,37890,63461,23483,41076,-58487,-40206
on,32795,59152,-58007,-45253,-54004,-19334
off,-36880,-31665,-5451,9866,56794,74361
on,6488,34465,64585,76786,-47312,-18654
off,-55650,-47636,30396,49175,-51293,-44144
off,-63747,-40098,-35293,-12768,-52002,-32466
off,-12882,8475,48966,82337,42277,62793
off,7118,22862,-18711,16147,-88286,-65477
off,-10836,13242,69350,72312,-45448,-38661
on,-52420,-38131,-77414,-52778,14542,42764
on,-89848,-66409,168,23695,-27156,1803
off,-54865,-22480,-76050,-57085,-47469,-28871
on,34515,43475,-81848,-58808,-20041,-9740
off,-23602,1520,-56201,-20329,-76295,-51683
off,46724,58847,44789,71411,1618,35206
on,-90915,-71229,-46074,-20817,-21032,5784
on,-98,21791,-35834,-2497,-81933,-60085
on,-74850,-54749,-32365,-18486,-20341,-12416
on,-28882,-4927,-69471,-62642,33132,52065
off,-15753,12375,61568,86274,-21514,-3531
on,-26785,-8677,14777,47992,51645,84431
off,523,26029,66883,96032,-430,29557
off,-74333,-49995,16582,46790,5195,38084
off,-19519,814,-74313,-60827,34126,53365
off,45895,60493,9315,33586,44229,68720
on,25839,50689,45783,53741,-61000,-28621
on,-37121,-8622,-47005,-16169,61422,87162
on,66248,96120,-33693,-12823,-3306,19562
on,6802,13551,-13075,1641,-94326,-65241
off,-68543,-48857,-35025,-16859,-57310,-37490
on,-38208,-18088,6973,22100,68284,83068
on,20728,50272,35670,64345,48305,61031
on,-82231,-73061,-22341,-18141,-32467,-5599
on,13111,37959,61103,76463,14756,34344
off,52587,90614,-47947,-27815,-24454,251
on,59006,80617,14840,31479,-60329,-35257
on,-43296,-23339,37750,52597,47208,66507
on,28037,45643,-57407,-50053,28589,49073
on,-79817,-67360,-4100,18242,-15874,7790
off,48532,69937,-52574,-42522,16906,43193
off,32462,70303,-11713,16656,-67265,-47847
off,-26523,-17080,-53738,-30409,-74185,-60454
off,-30288,-11416,-20515,3915,64006,89890
on,-48295,-36884,60055,79055,-33103,-447
on,12608,31852,46080,75888,20979,38768
on,45913,61608,-3048,8923,45246,67757
off,-26653,2107,20009,24828,65800,93552
off,-1858,19946,55890,80052,-62665,-43406
on,-42023,-25362,14452,29936,-81778,-54958
on,-17888,6293,-58566,-25693,-71302,-51354
on,37577,61853,58817,76394,-33566,-4584
off,-70992,-58470,-56639,-28210,-19466,-2208
off,52273,76206,28943,47161,14699,43674
off,23758,48975,-69990,-63327,-45071,-21137
off,59735,84688,13427,30113,25941,44318
off,-23580,1219,71552,81377,10803,23711
on,-4176,14097,78310,82094,5524,14136
off,37705,60673,43265,76118,12902,30343
on,-13173,12423,-13589,16214,-91780,-74972
off,7344,28831,-14806,17747,59912,92740
off,-7716,15471,16197,36505,73204,89957
off,50757,75240,-49505,-26144,-50703,-26451
off,-68228,-48773,-55335,-37515,-16806,424
on,28828,60591,-40340,-23250,53261,75456
off,17249,39205,-30393,-1469,74331,81522
off,-41565,-26008,49599,84922,15664,43984
on,-51255,-31891,-59306,-31019,44621,50118
on,-15369,-2347,-94087,-63092,-16595,-1953
off,69469,80984,1119,18363,14124,26481
off,18068,36949,-74065,-61304,-47739,-25181
off,53214,64436,2417,34457,-59352,-44412
off,-24903,2512,-63668,-34872,-81969,-47226
off,34810,64306,-74337,-56061,-19370,-9729
on,-66509,-44443,-40172,-19474,28121,45661
off,-36374,-19635,-66333,-34041,-71642,-46167
off,-75397,-51655,-46533,-16675,15665,41437
on,-67231,-50231,32645,45946,-52772,-36314
off,15532,42255,42977,73876,-41724,-28899
on,-638,11438,64611,74447,-44248,-21313
on,64134,88886,9851,22058,-32496,-15750
on,-36890,-11005,-79611,-66163,15502,27956
on,57174,74239,-52035,-23720,18846,45953
on,-11688,2112,30071,49114,-80075,-59814
off,-23540,-8417,-58056,-35582,65655,80490
on,-105,33967,-61550,-42727,-64519,-59397
off,50608,64639,52047,66615,-18294,3775
on,-26915,-12048,-41204,-26266,-84867,-64314
off,-5082,10543,66797,99517,-7318,2895
on,-78276,-46126,-60635,-47124,10331,28889
on,-64135,-30374,-73285,-49714,-18883,18253
on,-75748,-41518,46896,53281,-41494,-20714
off,2480,24609,-1133,4080,-82339,-70692
on,37426,40444,44719,64539,-63168,-46305
off,-24247,-4199,-91675,-70918,21600,26475
off,-42637,-17740,10111,34133,-80365,-66251
on,-71979,-63006,17628,54546,-25282,-8620
off,19903,40797,-45479,-26102,-60598,-40865
off,-19025,4339,48332,73243,39512,59538
off,-16909,12393,-90787,-66351,-27829,-18967
off,-41734,-18617,45390,68801,-54896,-43486
on,-34064,-15575,58590,87323,7208,21276
off,-12155,156,-91244,-73776,9049,34240
on,-46944,-17409,62237,76360,-499,1781
on,67286,78354,-40480,-5879,-9310,22374
off,61003,73081,20798,37756,-29692,1713
off,-26749,-11336,41399,60267,-55917,-46404
on,43741,51485,-33420,-15157,-74059,-46288
off,40664,49756,-56738,-53184,18404,49888
off,11119,34026,53518,73329,-40674,-29215
on,356,32735,-42795,-31022,64421,80511
on,-17765,6912,64293,82451,-10834,3740
off,-23117,-7497,-56197,-38196,45032,78936
off,-33928,-5819,3505,30266,65655,76454
off,40655,60141,-61397,-30392,23106,55441
off,-33018,-11881,48774,71231,-54940,-43163
off,-55148,-29924,-72179,-55281,11364,43289
on,23824,53365,47485,83819,19219,40382
off,-58823,-38660,36160,74182,10658,38800
off,-72657,-51235,-43758,-26077,23572,48361
on,23769,53740,60193,86746,-42134,-11571
on,-71003,-58647,-58346,-38690,-10719,7604
on,55343,62594,9242,20993,32859,61464
on,-15866,738,62300,84387,29622,37893
off,23438,35850,50146,65201,33363,48271
off,-46555,-30538,2719,28246,44730,66253
off,-81236,-68127,-22722,-1561,-19482,8343
on,-54410,-35969,28110,46111,29503,59945
off,-21105,-14679,-22141,-3730,65579,92504
off,2960,13126,19056,24557,-91185,-64145
off,-2149,9769,60724,84132,19846,39777
on,36472,49717,-70114,-63270,-45438,-26150
on,-75795,-44009,-68905,-39498,-6911,24865
on,-35744,-18334,-72301,-56851,-50405,-23276
on,36874,68825,-72743,-46875,-29853,-15420
on,64687,90942,-31723,-10600,12627,35451
off,-24033,7058,5212,34036,63308,96443
on,-32461,-11993,-18599,13496,67858,95825
on,-14787,19571,58502,74162,-69576,-34257
on,53452,82869,-49520,-34240,-16026,11625
off,-83866,-59122,2100,32027,24198,44205
off,-14365,2319,-89755,-73018,4880,22364
off,62036,83808,39699,50848,16184,35241
off,57205,67911,-27350,-21517,-46756,-27443
off,62414,79995,-48813,-31326,-14997,-455
off,-36019,-2000,65362,83321,28014,49976
on,-82815,-56369,-21694,-13537,-46997,-24606
off,-8241,19923,26110,47089,-89019,-68637
off,41406,60196,367,21060,-70704,-43242
off,-9225,9919,-71759,-63342,-61884,-35658
off,21344,55409,30638,57388,40788,70545
off,63494,83068,-29655,-682,10880,30117
on,-32426,-15505,-65684,-54246,37005,61987
on,-72406,-52218,-41385,-36738,-11161,1691
off,-52540,-31478,56695,65511,-44399,-18394
on,57080,88806,3630,17742,21713,45202
off,56212,83988,19270,35602,-17285,-7191
off,35885,58295,-45932,-37154,-52551,-40498
off,5956,35309,62288,88246,9044,32130
off,66232,83758,-21317,-3366,25525,55530
on,13829,36901,-26228,-6363,-91708,-66711
off,-32985,-19828,34317,59897,-67155,-54867
off,41770,73943,45111,62837,20111,29494
off,-13108,7472,-75565,-48036,26521,50646
off,-12863,10581,49884,67182,-75435,-48525
on,-45314,-23740,50384,82344,7975,40667
off,29239,46015,-74070,-59105,4283,38014
off,1076,26445,-53867,-33051,-87324,-70069
off,44976,69921,5309,36285,27263,51265
on,-46471,-36215,32792,58115,-62759,-31784
on,-58361,-28000,1521,20429,48824,77384
off,-39096,-10005,58360,75674,-32233,-17910
off,4783,19229,-57235,-25169,-73400,-59801
off,34850,63892,-48499,-41462,28235,50978
on,-11706,-1176,-7656,14422,78665,97813
on,-6761,13527,-22991,-3655,74613,89826
on,2294,27656,-49060,-34370,-75820,-58299
on,-83426,-63012,-6688,19545,21176,44943
on,-41812,-22017,-62901,-27714,51151,65398
on,17534,30861,54417,69870,-64443,-33468
off,-30366,1224,54364,93022,-34531,-13485
off,-77755,-61099,-32833,-21630,-32021,-21327
on,-14485,-3984,-42928,-15375,-86912,-56712
on,-12117,10472,-76888,-74614,16854,36431
off,25654,40036,-90323,-70829,-11602,5072
on,13297,34064,72284,95822,3463,19778
on,-31875,-15199,62708,83242,-54162,-17234
off,-84173,-64212,15346,31401,-52730,-28317
off,-34457,-12316,12732,26740,-89885,-59140
on,21661,44248,-62275,-52884,-64237,-35005
